#bgm:ファイル位置,名前
#pic:ID,ファイル名,リニア時処理(0:なし 1:左右１ドット 2:上下 3:全部),中心軸(0:左上 1:画像の中心 2:左下 3:右上 4:右下),加算とか
#bpm:開始拍,BPM値
x:0,3,0,0,0

#<x,y>:ID,開始拍,長さ拍,位置,移動式(0:線形 1:スローカーブ 2:ファーストカーブ)
#<sx,sy>:ID,開始拍,長さ拍,倍率,移動式(0:線形 1:スローカーブ 2:ファーストカーブ)
#<angle>:ID,開始拍,長さ拍,角度,移動式(0:線形 1:スローカーブ 2:ファーストカーブ)
#alpha:ID,開始拍,長さ拍,α0～255,移動式(0:線形 1:スローカーブ 2:ファーストカーブ)


bgm:data/bgm/sr.ogg



#中画像
pic:99,data/scene/staffroll/black.bmp,0,0,1
pic:91,data/scene/staffroll/ed01.bmp,0,0,1
pic:92,data/scene/staffroll/ed02.bmp,0,0,1


#下文字

pic: 0,data/scene/staffroll/back00.bmp,1,0,1
pic: 1,data/scene/staffroll/back01.bmp,1,0,1

pic:10,data/scene/staffroll/back10.bmp,1,0,1
pic:11,data/scene/staffroll/back11.bmp,1,0,1
pic:12,data/scene/staffroll/back12.bmp,1,0,1


pic:90,data/scene/staffroll/red.bmp,0,0,2
pic: 2,data/scene/staffroll/back02.bmp,1,0,1
pic: 3,data/scene/staffroll/back03.bmp,1,0,1
pic: 4,data/scene/staffroll/back04.bmp,1,0,1

pic:13,data/scene/staffroll/back13.bmp,1,0,1
pic:20,data/scene/staffroll/back20.bmp,0,0,1
pic:22,data/scene/staffroll/back22.bmp,1,0,1
pic:21,data/scene/staffroll/back21.bmp,0,0,1

pic:60,data/scene/staffroll/thank.bmp,0,0,1
pic:98,data/scene/staffroll/white.bmp,0,0,2
pic:94,data/scene/staffroll/cloud1.bmp,1,0,1
pic:97,data/scene/staffroll/cloud1.bmp,1,0,2
pic:95,data/scene/staffroll/cloud1.bmp,1,0,2
pic:96,data/scene/staffroll/cloud2.bmp,2,0,1


pic:70,{{pack_path}}moji00.bmp,0,0,1
pic:71,data/scene/staffroll/moji/moji01.bmp,0,0,1
pic:72,data/scene/staffroll/moji/moji02.bmp,0,0,1
pic:73,data/scene/staffroll/moji/moji03.bmp,0,0,1
pic:74,data/scene/staffroll/moji/moji04.bmp,0,0,1
pic:75,data/scene/staffroll/moji/moji05.bmp,0,0,1
pic:76,data/scene/staffroll/moji/moji06.bmp,0,0,1
pic:77,data/scene/staffroll/moji/moji07.bmp,0,0,1
pic:78,data/scene/staffroll/moji/moji08.bmp,0,0,1
pic:79,data/scene/staffroll/moji/moji09.bmp,0,0,1
pic:80,data/scene/staffroll/moji/moji10.bmp,0,0,1
pic:81,data/scene/staffroll/moji/moji11.bmp,0,0,1

pic:61,{{pack_path}}end.png,0,0,1

bpm   :  0,120



#黒消去
x     : 99,  0,  0,   0,0
y     : 99,  0,  0,   0,0
#alpha : 99,  0,  2, 255,0


#alpha : 91,  0,  2, 255,1
#alpha : 91, 10,  3,   0,2

#alpha : 92,  8,  3, 255,1
#alpha : 92, 20,  0,   0,2

#notify:8
notify:20

#白消去
alpha : 98, 16,  2, 255,2
x     : 98, 18,  3,1664,0
alpha : 98, 22,  0,   0,2

notify:30

#雲
alpha : 94, 18,  0, 255,0
sx    : 94, 18,  0,   2,0
sy    : 94, 18,  0,   2,0
x     : 94, 18,  0,-1024,0
x     : 94, 18,  3, 640,0
alpha : 94, 21,  0,   0,0

#############################################

#遠1
alpha :  0, 18,  0, 255,0
x     :  0, 18,  0,-383,0
x     :  0, 18, 48, 639,0
alpha :  0,100,  0,   0,0

#遠2
alpha :  1, 18,  0, 255,0
